Rank,Expected Points Added (EPA),Offense,Defense,Week,Date,Quarter,Time,Down,Distance,Description,Box Scores,Yard Line (Distance from Off. EZ)
,-1.03,KC,BUF,20,2022-01-23,3,8:06,3,8,"(8:06) (Shotgun) 15-P.Mahomes scrambles right end to BUF 9 for 9 yards (21-J.Poyer). PENALTY on KC-77-A.Wylie, Offensive Holding, 10 yards, enforced at BUF 18 - No Play.",Box Score,18.0
,-1.24,SF,GB,20,2022-01-22,3,10:37,2,5,"(10:37) (Shotgun) 25-E.Mitchell right end pushed ob at GB 3 for 9 yards (21-E.Stokes). PENALTY on SF-25-E.Mitchell, Face Mask (15 Yards), 15 yards, enforced at GB 6.",Box Score,12.0
,-5.99,TEN,CIN,20,2022-01-22,3,6:48,1,9,"(6:48) (Shotgun) 17-R.Tannehill pass short right intended for 80-C.Rogers INTERCEPTED by 21-M.Hilton at CIN 20. 21-M.Hilton to CIN 39 for 19 yards (17-R.Tannehill). PENALTY on CIN-20-E.Apple, Taunting, 15 yards, enforced at CIN 39.",Box Score,9.0
,1.01,TB,LA,20,2022-01-23,4,5:41,1,10,"(5:41) (No Huddle, Shotgun) 12-T.Brady pass incomplete deep left to 13-M.Evans. PENALTY on LA-11-D.Williams, Defensive Pass Interference, 16 yards, enforced at LA 48 - No Play.",Box Score,
,-0.03,CIN,TEN,20,2022-01-22,2,11:30,4,6,"(11:30) 10-K.Huber punts 39 yards to TEN 21, Center-46-C.Harris. 80-C.Rogers to TEN 26 for 5 yards (51-M.Bailey). PENALTY on TEN-81-R.McMath, Offensive Holding, 10 yards, enforced at TEN 26.",Box Score,
,-0.09,KC,BUF,20,2022-01-23,2,0:37,1,10,"(:37) (Shotgun) 15-P.Mahomes pass incomplete short left to 87-T.Kelce. PENALTY on BUF-39-L.Wallace, Defensive Holding, 5 yards, enforced at KC 25 - No Play.",Box Score,
,-0.92,LA,TB,20,2022-01-23,1,10:39,1,10,"(10:39) 23-C.Akers left end to TB 48 for no gain (58-S.Barrett, 33-J.Whitehead). PENALTY on LA-55-B.Allen, Offensive Holding, 10 yards, enforced at TB 48 - No Play.",Box Score,
,-0.22,GB,SF,20,2022-01-22,4,3:33,4,11,"(3:33) (Punt formation) PENALTY on GB-58-I.McDuffie, False Start, 5 yards, enforced at GB 28 - No Play.",Box Score,
,-0.48,GB,SF,20,2022-01-22,2,7:04,4,2,"(7:04) (Shotgun) PENALTY on GB, Delay of Game, 5 yards, enforced at GB 46 - No Play.",Box Score,
,-0.6,CIN,TEN,20,2022-01-22,1,8:39,4,14,"(8:39) 10-K.Huber punts 48 yards to TEN 25, Center-46-C.Harris, fair catch by 80-C.Rogers. PENALTY on CIN-33-T.Flowers, Fair Catch Interference, 15 yards, enforced at TEN 25.",Box Score,
,-1.28,TB,LA,20,2022-01-23,4,12:28,4,14,"(12:28) (Shotgun) 12-T.Brady pass incomplete deep left to 13-M.Evans (5-J.Ramsey). PENALTY on LA-20-E.Weddle, Unnecessary Roughness, 14 yards, enforced between downs.",Box Score,
